,cc,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,Cons,BokoHaram,is_urban
958,367484,4877315,566,NIG6046,6046,21/06/2014,41811,2014,2,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Askira/Uba,Askira East,Askira,10.647,12.911,2,Vanguard (Lagos),Subnational,"Suspected Boko Haram attack Askira/Uba LGA, abduct several residents. Exact date vague.",0,1552577414,NGA,80861,1,True
959,367428,4877269,566,NIG6052,6052,22/06/2014,41812,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Chibok,,Chibok,10.8658,12.847000000000001,2,Vanguard (Lagos),Subnational,"No fewer than 40 people, including teenagers, were killed, weekend, when suspected Boko Haram insurgents attacked three villages of Chuha A, Chuha B, and Korongilim in Chibok Local Government Area of Borno State. The attackers, according to sources, destroyed houses, shops and vehicles after carting away foodstuff and livestock. The attack occurred at 7am on 22/06. The attack is likely a reprisal for failed attack in the area the previous day.",40,1552577414,NGA,80827,1,False
960,367429,4877226,566,NIG6051,6051,22/06/2014,41812,2014,1,Explosions/Remote violence,Suicide bomb,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Gwoza,Ngoshe,Gwoza,11.084000000000001,13.6925,1,Leadership (Abuja),Subnational,A suicide bomber rammed his car into a military checkpoint in Borno state near the border with Cameroon killing three soldiers in an attack blamed on Boko Haram. Three other soldiers were also injured in the early morning attack in Gwoza town.,3,1552577414,NGA,80828,1,True
963,367354,4877199,566,NIG6060,6060,23/06/2014,41813,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Gwoza,Wala Waraba,Sambisa Forest Reserve,11.25,13.4167,2,Vanguard (Lagos),Subnational,"Military Forces kill 70 Boko Haram insurgents in air raids near Sambisa Forest. Those attacked are believed to have a connection to attacks in Chuha A, Chuha B, and Korongilim the previous day.",70,1552577414,NGA,80783,1,False
962,367306,4877215,566,NIG6053,6053,23/06/2014,41813,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Kano,Kano Municipal,,Kano,11.9702,8.5044,1,Agence France Presse,International,A bomb blast at a public health college in Kano killed at least eight people and injured at least 20. It was not yet clear who carried out the attack but initial suspicion fell on Boko Haram.,8,1552577414,NGA,80757,1,True
961,367305,4877204,566,NIG6054,6054,23/06/2014,41813,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Damboa,,Kumumza,10.9065,13.3179,1,Agence France Presse,International,"Suspected Boko Haram militants have abducted more than 60 women and girls in Kummabza village in the Damboa district of Borno state. Four villagers, who tried to escape were shot dead on the spot. The abduction could be an attempt by the group to refocus attention on its demands for the release of militant fighters - Boko Haram has indicated that it would be willing to release the 219 schoolgirls that it has held hostage since April 14 in exchange for the freedom of its brothers in arms currently held in Nigerian jails.",4,1552577414,NGA,80756,1,False
964,367262,4877105,566,NIG6072,6072,24/06/2014,41814,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,1,Vanguard (Lagos),Subnational,"No fewer than 16 security operatives, including soldiers and dozens of suspected members of Boko Haram militants were reportedly killed Tuesday night, when insurgents attacked a military post in Bulabulin Ngaura in Damboa Local Government Area of Borno State.",16,1552577414,NGA,80725,1,False
965,367264,5131367,120,CAO273,273,24/06/2014,41814,2014,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-),Police Forces of Cameroon (1982-),1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Mora,11.0485,14.1476,2,Agence France Presse,International,Eight alleged members of Boko Haram were killed by Cameroonian security forces during a joint police/military patrol; about a dozen Boko Haram fighters were attacked by the Cameroonian forces,8,1555958740,CMR,80727,1,True
966,367159,4877051,566,NIG6077,6077,25/06/2014,41815,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Darazo,,Darazo,10.9938,10.4118,2,Vanguard (Lagos),Subnational,"Twin cars laden with bombs exploded at Foldaway junction at 8:30pm on Creek Road, Papa, killing four persons, while several others were injured. Witnesses say the bombing bore the hallmarks of Boko Haram.",4,1552577414,NGA,80684,1,True
967,367160,4876996,566,NIG6076,6076,25/06/2014,41815,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,1,Vanguard (Lagos),Subnational,"Following two explosions at an Abuja shopping mall, security forces locate a perpetrator attempting to detonate a third explosive at Emab Plaza, shoot and kill the suspect.",1,1552577414,NGA,80685,1,False
968,367161,4877052,566,NIG6073,6073,25/06/2014,41815,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,1,Associated Press,International,"Suspected Boko Haram detonate two explosives in a Abuja shopping mall, one at Emab Plaza, and second at Banez Plaza. At least 22 dead and seventeen injured. In the following week three injured victims succumbed to their injuries in hospital, bringing the total dead (after revision) to 24. Weeks later Boko Haram officially claimed responsibility for the blast.",24,1552577414,NGA,80686,1,False
969,367032,4876924,566,NIG6082,6082,27/06/2014,41817,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Vanguard (Lagos),Subnational,"Suspected Boko Haram detonate an explosive targeting a building in the Bayan Gari neighbourhood on the outskirts of the city was widely known as a brothel. Eleven people were confirmed dead, while 28 others sustained various degrees of injury. The attack occurred late in the day. The initial numbers were lower, but were revised upward the following day.",11,1552577413,NGA,80610,1,True
970,366930,4876779,566,NIG6086,6086,29/06/2014,41819,2014,1,Battles,Armed clash,Unidentified Armed Group (Nigeria),,3,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,33,Western Africa,Nigeria,Borno,Chibok,,Kwada,10.8856,12.7043,1,Associated Press,International,"Suspected Islamic extremists sprayed gunfire at worshippers and torched four churches in a village just miles from Chibok. A local militia repelled the attackers in some measure - the soldiers refused to confront the extremists directly, only shooting at them from a distance outside the village. The attack is believed to be in conjunction with a twin attack in Kautikari. At least 30 dead in Kwada.",30,1552577413,NGA,80549,1,False
971,366939,4876753,566,NIG6088,6088,29/06/2014,41819,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Biu,,Mandaragirau,10.6958,12.3313,1,Nigerian Tribune,National,"Suspected members of Boko Haram attack Mandaragirau, shooting sporadically and making away with 60 cows. No deaths reported.",0,1552577413,NGA,80557,1,False
