,cc,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,Cons,BokoHaram,is_urban
0,458345,4968150,566,NIG2314,2314,11/06/2009,39975,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Friedrich Ebert Stiftung; Naij.com,International,"A detachment of a joint police and military anti-robbery squad (""Operation Flush"") intercepted a group of members of the Boko Haram sect militia riding motorbikes during a funeral procession for not wearing crash helmets, leading to an argument between the two groups and to the fatal shooting of 17 of the Boko Haram members by one of the security officers. This event is thought to have triggered a large wave of anti-government uprisings the following month.",17,1552577626,NGA,123739,1,True
1,457886,4967691,566,NIG2347,2347,26/07/2009,40020,2009,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Dow Jones International News,International,Islamic militia kidnaps women and children from Bauchi,0,1552577625,NGA,123320,1,True
2,457887,4967678,566,NIG2348,2348,26/07/2009,40020,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,All Africa; Friedrich Ebert Stiftung,Regional,"Members of the Boko Haram sect militia attacked and destroyed the Dutsen Tanshi police station in Bauchi in retaliation for the killing of 17 of its members on 11 June by security forces in Maiduguri. This attack is thought to have sparked off a wave of unrest, which swept through Bauchi, Borno, Kano, Katsina and Yobe states until at least 30 July, when Boko Harams leader was captured and later killed by police.",0,1552577625,NGA,123321,1,True
3,457863,4967666,566,NIG2356,2356,27/07/2009,40021,2009,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,All Africa,Regional,Islamic militia burns churches,0,1552577625,NGA,123299,1,True
4,457865,4967670,566,NIG2360,2360,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Potiskum,Bolewa A,Potiskum,11.7091,11.0694,1,All Africa,Regional,Islamic militia attacks and burns police station,0,1552577625,NGA,123301,1,True
5,457869,4967665,566,NIG2350,2350,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123305,1,True
6,457870,4967667,566,NIG2353,2353,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Nangere,Nangere,Nangere,11.864,11.0698,2,All Africa,Regional,Fighting between Islamic militants and police and military,0,1552577625,NGA,123306,1,False
7,457871,4967664,566,NIG2352,2352,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Gombe,Gombe,,Gombe,10.2897,11.1673,2,All Africa,Regional,Islamic militia attacks police and military in Gombe State,0,1552577625,NGA,123307,1,True
8,457872,4967652,566,NIG2354,2354,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Damaturu,Damaturu Central,Damaturu,11.747,11.9608,1,All Africa,Regional,Islamic militia attacks police station,0,1552577625,NGA,123308,1,True
9,457873,4967653,566,NIG2351,2351,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Ngala,Ngala,Gamboru,12.373,14.2069,1,All Africa,Regional,Violence spreads as Islamic militia continues attacks on police and military,0,1552577625,NGA,123309,1,True
10,457874,4967668,566,NIG2355,2355,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Kano,Wudil,,Wudil,11.8107,8.8451,1,All Africa,Regional,Islamic militia attacks police station,0,1552577625,NGA,123310,1,True
12,457842,4967643,566,NIG2361,2361,28/07/2009,40022,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123280,1,True
13,457844,4967646,566,NIG2362,2362,28/07/2009,40022,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Nangere,Nangere,Nangere,11.864,11.0698,2,All Africa,Regional,Fighting between Islamic militants and police and military,0,1552577625,NGA,123282,1,False
11,457839,4967645,566,NIG2364,2364,28/07/2009,40022,2009,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,All Africa,Regional,Islamic militia burns churches,0,1552577625,NGA,123277,1,True
14,457822,4967627,566,NIG2367,2367,29/07/2009,40023,2009,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,All Africa,Regional,Islamic militia burns churches,0,1552577625,NGA,123260,1,True
15,457826,4967632,566,NIG2368,2368,29/07/2009,40023,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Potiskum,Mamudo,Mamudo,11.6852,11.1861,1,All Africa,Regional,Security forces fight members of Islamic militia,0,1552577625,NGA,123264,1,False
16,457830,4967626,566,NIG2366,2366,29/07/2009,40023,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Nangere,Nangere,Nangere,11.864,11.0698,2,All Africa,Regional,Fighting between Islamic militants and police and military,0,1552577625,NGA,123268,1,False
17,457831,4967628,566,NIG2365,2365,29/07/2009,40023,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123269,1,True
18,457807,4967609,566,NIG2370,2370,30/07/2009,40024,2009,1,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Civilians (Nigeria),Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,7,17,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",1,1552577625,NGA,123245,1,True
19,457816,4967614,566,NIG2369,2369,30/07/2009,40024,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123254,1,True
20,457803,4967601,566,NIG2371,2371,31/07/2009,40025,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News,International,Uprising by radical Islamic militia causes clashes with police and military; 700 killed over five days in Maiduguri,0,1552577625,NGA,123241,1,True
21,455933,4965728,566,NIG2473,2473,12/01/2010,40190,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Katsina,Bakori,,Bakori,11.5545,7.4243,1,All Africa,Regional,Members of a ethnic group rob a bank.,0,1552577623,NGA,121714,1,True
22,454616,4964356,566,NIG2544,2544,9/02/2010,40218,2010,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Associated Press,International,Two police shoot and kill seven members of the militant Boko Haram sect execution style. This was caught on film and broadcast on Al-Jazerra for political purposes.,7,1552577622,NGA,121309,1,True
23,445904,4955741,566,NIG2857,2857,25/08/2010,40415,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,All Africa,Regional,Members of the outlawed Boko Haram sect appeared to have resorted to guerrilla warfare as they waylaid and shot dead three policemen in Damaturu and Maiduguri.,2,1552577547,NGA,118989,1,True
24,445907,4955744,566,NIG2856,2856,25/08/2010,40415,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Yobe,Damaturu,Damaturu Central,Damaturu,11.747,11.9608,1,All Africa,Regional,Members of the outlawed Boko Haram sect appeared to have resorted to guerrilla warfare as they waylaid and shot dead three policemen in Damaturu and Maiduguri.,1,1552577547,NGA,118992,1,True
26,445486,4955325,566,NIG2864,2864,5/09/2010,40426,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Bama,Goniri,Bama,11.5221,13.6856,1,Agence France Presse,International,"Suspected members of an Islamist sect that launched an uprising last year have killed a retired police officer in a hit-and-run shooting. Motorcycle-riding gunmen opened fire on the victims in three separate incidents on Sunday, including in Bama outside Maiduguri, where the retired officer was killed.",1,1552577547,NGA,118894,1,True
25,445484,4955323,566,NIG2865,2865,5/09/2010,40426,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Suspected members of an Islamist sect that launched an uprising last year have wounded five people in hit-and-run shootings. Motorcycle-riding gunmen opened fire on the victims in three separate incidents on Sunday in the northern city of Maiduguri.,0,1552577547,NGA,118892,1,True
27,445432,4955241,566,NIG2868,2868,7/09/2010,40428,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015) Prison Guards,1,13,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Agence France Presse,International,Boko Haram attacked a prison in northern Nigeria in an attempt to free their comrades; over 700 inmates freed. No reports of casualty numbers.,0,1552577546,NGA,118869,1,True
28,445058,4954857,566,NIG2874,2874,21/09/2010,40442,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Islamists killed two people in northern Nigeria. From eyewitness accounts, the modus operandi of the attackers was similar to that applied in previous attacks. The fact that the assailants came on a motorbike, opened fire on their victims and sped away gives rise to some suspicion that the attackers were Boko Haram members.",2,1552577546,NGA,118756,1,True
29,444485,4954324,566,NIG2879,2879,6/10/2010,40457,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),ANPP: All Nigeria Peoples Party,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Gunmen suspected to be members of the Boko Haram sect gained access to the home of a national vice chairman of the All Nigeria Peoples Party (ANPP) in Maiduguri and killed him.,1,1552577545,NGA,118634,1,True
30,444486,4954325,566,NIG2878,2878,6/10/2010,40457,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),ANPP: All Nigeria Peoples Party,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Gunmen attacked the home of Ali Modu, the speaker of the Borno state House of Assembly in a suburb of Maiduguri and killed a security guard.",1,1552577545,NGA,118635,1,True
31,444413,4954252,566,NIG2881,2881,9/10/2010,40460,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Muslim Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Two gunmen on a motorcycle shot dead outspoken clericc Bashir Kashara outside his house in the heart of Maiduguri city.,1,1552577545,NGA,118617,1,True
32,444261,4954065,566,NIG2884,2884,14/10/2010,40465,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Agence France Presse,International,"Gunmen killed two policemen manning a checkpoint in northern Nigeria in the latest in a wave of such shootings that have raised alarm over rebels from an Islamist sect. The attack led authorities to announce that they were banning the night-time use of motorcycles in the city of Bauchi, where the shootings occurred.",2,1552577545,NGA,118593,1,True
33,444073,4953911,566,NIG2885,2885,19/10/2010,40470,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Islamist sect members have killed an off-duty policeman on the outskirts of Maiduguri. Motorcycle-riding gunmen killed the officer on Tuesday night as he was walking home.,1,1552577545,NGA,118533,1,True
34,443953,4953790,566,NIG2886,2886,22/10/2010,40473,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Agence France Presse,International,"Gunmen suspected of being members of Boko Haram Islamist sect have shot dead a local chief in northern Nigeria. Tukur Ahmad, a neighbourhood chief in northern city of Bauchi was killed by two unidentified gunmen outside his house Friday night shortly after attending Muslim prayers in a nearby mosque.",1,1552577545,NGA,118499,1,True
35,443908,4953713,566,NIG2888,2888,24/10/2010,40475,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Yobe,Gulani,Bara,Bara,10.9368,11.6848,1,Reuters,International,"Suspected members of a radical Islamist sect in northern Nigeria firebombed a police station over the weekend, leading to a gun fight in which at least one person was killed.",1,1552577545,NGA,118488,1,False
36,443439,4953276,566,NIG2894,2894,7/11/2010,40489,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Muslim Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"A suspected member of Islamist sect, Boko Haram, tried to shoot a local traditional leader at his house in Maiduguri. The local chief in the city of Maiduguri managed to wrestle the assailant, who was armed with a Kalashnikov rifle, and overpower him before he was able to open fire.",0,1552577544,NGA,118376,1,True
37,443285,4953121,566,NIG2898,2898,13/11/2010,40495,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Two motorcycle-riding gunmen suspected of belonging to the Boko Haram sect shot dead an off-duty soldier who was recovering from an undisclosed illness, and also shot and wounded his friend in Zinnari district of Maiduguri in the early hours of Saturday morning.",1,1552577544,NGA,118314,1,True
38,443049,4952886,566,NIG2903,2903,19/11/2010,40501,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Muslim Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Suspected Boko Haram members opened fire on worshippers at a Wahabi mosque in Maiduguri shortly before Friday prayers, killing three, including a young boy. The Boko Haram sect considers Saudi-inclined Wahabi Muslims to be heretics for their vehement opposition to Boko Harams ideology of violence and its aversion to Western education.",3,1552577544,NGA,118214,1,True
39,443019,4952839,566,NIG2904,2904,21/11/2010,40503,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Military Forces of Nigeria (1999-2015) Joint Task Force,,1,13,Western Africa,Nigeria,Yobe,Karasuwa,Jaji Maji,Jajimari,12.8992,10.8078,1,Agence France Presse,International,Suspected members of Islamist sect Boko Haram ambushed a military patrol in the flashpoint northern Nigerian city of Maiduguri. One soldier was wounded in the shoot-out that took place Sunday night in the Jajere area of Maiduguri.,0,1552577544,NGA,118203,1,True
40,442956,4952792,566,NIG2905,2905,23/11/2010,40505,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Police Forces of Nigeria (1999-2015),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Gunmen suspected of being members of Boko Haram Islamist sect have shot dead two off-duty policemen in Bulunkutu area of Maiduguri while waiting to board a bus home after work. The two policemen were killed by four gunmen who fired at them from inside a car before speeding off.,2,1552577544,NGA,118178,1,True
42,442587,4952427,566,NIG2914,2914,4/12/2010,40516,2010,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Suspected members of an Islamist sect behind an armed uprising last year in northern Nigeria engaged in a shootout with soldiers. Three local residents were killed and six others wounded when caught in the crossfire.,3,1552577543,NGA,118058,1,True
41,442586,4952428,566,NIG2913,2913,4/12/2010,40516,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Military Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,Suspected members of an Islamist sect behind an armed uprising last year in northern Nigeria engaged in a shootout with soldiers.,0,1552577543,NGA,118057,1,True
43,442565,4952396,566,NIG2915,2915,5/12/2010,40517,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"A police checkpoint in the city of Maiduguri, the centre of last years uprising, came under fire from attackers and officers shot back. The police had superior power which forced the attackers believed to be members of Boko Haram to flee and no casualty was recorded.",0,1552577543,NGA,118045,1,True
44,442431,4952244,566,NIG2917,2917,9/12/2010,40521,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Military Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Gunmen suspected of belonging to a radical Islamic sect, Boko Haram, launched an attack on a military patrol, burning a military vehicle. Scores of gunmen stormed the neighbourhood where the patrol team was stationed and opened fire on soldiers. The soldiers fired back, resulting in a shootout that lasted for about two hours. One attacker was shot and captured.",0,1552577543,NGA,118013,1,True
45,441901,4951736,566,NIG2925,2925,24/12/2010,40536,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Suspected Islamist sect members of Boko Haram attacked a church during Christmas Eve services in northern Nigeria on Friday, but were repelled by the military after a gun battle and no worshippers were killed.",0,1552577542,NGA,117868,1,True
46,441903,4951787,566,NIG2922,2922,24/12/2010,40536,2010,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Plateau,Jos North,,Jos,9.9285,8.8921,1,Agence France Presse,International,"In a separate series of explosions, homemade devices killed at least 24 in a second location in Jos, and injured a further 74. Boko Haram later claimed responsibility.",24,1552577542,NGA,117870,1,True
47,441904,4951789,566,NIG2926,2926,24/12/2010,40536,2010,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Plateau,Jos North,,Gada Biu,9.9294,8.8706,1,Reuters,International,An explosion killed at least 8 people and wounded red dozens more in a village near the central Nigerian city of Jos. Boko Haram later claimed responsibility.,8,1552577542,NGA,117871,1,True
48,441947,4951779,566,NIG2924,2924,24/12/2010,40536,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Protestant Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"In a separate attack on a Baptist church in Alamderi area, five worshippers including a pastor of the church were killed by gunmen suspected to be members of Boko Haram",6,1552577542,NGA,117878,1,True
49,441953,4951781,566,NIG2920,2920,24/12/2010,40536,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Military Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Suspected Islamist sect members of Boko Haram attacked a church during Christmas Eve services in northern Nigeria on Friday, but were repelled by the military after a gun battle and no worshippers were killed.",0,1552577542,NGA,117883,1,True
50,441956,4951780,566,NIG2921,2921,24/12/2010,40536,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Private Security Forces (Nigeria),,8,38,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"Suspected Islamist sect members of Boko Haram attacked a third church during Christmas Eve services in northern Nigeria, killing one private security officer.",1,1552577542,NGA,117885,1,True
51,441785,4951620,566,NIG2930,2930,28/12/2010,40540,2010,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Police Forces of Nigeria (1999-2015),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,"In an attack in Zinnari area of the city, gunmen suspected to be members of Boko Haram shot and killed a retired police officer, while two civilians in his company were injured.",1,1552577542,NGA,117838,1,True
52,441791,5021540,566,NIG2929,2929,28/12/2010,40540,2010,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Police Forces of Nigeria (1999-2015),,1,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Agence France Presse,International,In an attack in the Bulunkutu neighbourhood of Maiduguri gunmen believed to be Boko Haram sect members shot and killed a policeman and injured a civilian,1,1553544834,NGA,117841,1,True
